timesteps,reward,best_reward
200000,236.23999592885374,420.5999926254153
400000,352.54999380260705,729.9999860972166
600000,451.8249915894121,728.4999872595072
800000,355.4799935646355,643.8999875485897
1000000,501.47499104477464,816.1999851688743
1200000,567.9349899075926,986.3999847844243
1400000,673.9949877243489,986.8999824300408
1600000,858.5499842230231,986.5999818518758
1800000,548.01498972103,986.8999826610088
2000000,494.20999160148205,984.3999877646565
2200000,586.1499891649931,982.0999823212624
2400000,658.9499877810479,987.59998408705
2600000,850.2449842650443,987.7999810352921
2800000,534.5899903826415,987.4999840706587
3000000,690.9099872455001,986.9999806061387
3200000,741.4049866758287,987.8999829813838
3400000,693.1799873489887,986.8999821767211
3600000,586.5049889057875,986.8999796509743
3800000,717.4599874265492,987.1999845579267
4000000,654.6099880345166,987.699980802834
4200000,749.3399863030761,987.999982342124
4400000,819.979984555766,988.1999797224998
4600000,703.6099871575832,987.9999811649323
4800000,557.549989425391,987.0999806821346
5000000,569.6749896287918,988.0999831706285
